State,Annual Salary,Monthly Pay,Weekly Pay,Hourly Wage,Job
New York,"136,172.00","11,347.00","2,618.00",65.47,Data Scientist
Vermont,"133,828.00","11,152.00","2,573.00",64.34,Data Scientist
California,"131,441.00","10,953.00","2,527.00",63.19,Data Scientist
Maine,"127,644.00","10,637.00","2,454.00",61.37,Data Scientist
Idaho,"126,275.00","10,522.00","2,428.00",60.71,Data Scientist
Washington,"125,289.00","10,440.00","2,409.00",60.24,Data Scientist
Pennsylvania,"124,713.00","10,392.00","2,398.00",59.96,Data Scientist
Massachusetts,"123,188.00","10,265.00","2,369.00",59.23,Data Scientist
Alaska,"122,407.00","10,200.00","2,353.00",58.85,Data Scientist
New Jersey,"121,955.00","10,162.00","2,345.00",58.63,Data Scientist
New Hampshire,"121,666.00","10,138.00","2,339.00",58.49,Data Scientist
Oregon,"121,011.00","10,084.00","2,327.00",58.18,Data Scientist
North Dakota,"120,890.00","10,074.00","2,324.00",58.12,Data Scientist
Wisconsin,"120,117.00","10,009.00","2,309.00",57.75,Data Scientist
Wyoming,"119,040.00","9,920.00","2,289.00",57.23,Data Scientist
Hawaii,"118,595.00","9,882.00","2,280.00",57.02,Data Scientist
Colorado,"117,956.00","9,829.00","2,268.00",56.71,Data Scientist
Indiana,"116,954.00","9,746.00","2,249.00",56.23,Data Scientist
Nevada,"115,741.00","9,645.00","2,225.00",55.64,Data Scientist
New Mexico,"115,421.00","9,618.00","2,219.00",55.49,Data Scientist
Minnesota,"115,258.00","9,604.00","2,216.00",55.41,Data Scientist
Arizona,"114,536.00","9,544.00","2,202.00",55.07,Data Scientist
South Dakota,"114,254.00","9,521.00","2,197.00",54.93,Data Scientist
Montana,"112,811.00","9,400.00","2,169.00",54.24,Data Scientist
Ohio,"112,255.00","9,354.00","2,158.00",53.97,Data Scientist
Rhode Island,"112,085.00","9,340.00","2,155.00",53.89,Data Scientist
Delaware,"111,877.00","9,323.00","2,151.00",53.79,Data Scientist
Alabama,"111,402.00","9,283.00","2,142.00",53.56,Data Scientist
Virginia,"110,662.00","9,221.00","2,128.00",53.20,Data Scientist
Connecticut,"109,897.00","9,158.00","2,113.00",52.84,Data Scientist
Iowa,"109,690.00","9,140.00","2,109.00",52.74,Data Scientist
Illinois,"108,858.00","9,071.00","2,093.00",52.34,Data Scientist
Mississippi,"108,712.00","9,059.00","2,090.00",52.27,Data Scientist
Maryland,"108,449.00","9,037.00","2,085.00",52.14,Data Scientist
Tennessee,"107,174.00","8,931.00","2,061.00",51.53,Data Scientist
Utah,"106,899.00","8,908.00","2,055.00",51.39,Data Scientist
Nebraska,"106,424.00","8,868.00","2,046.00",51.17,Data Scientist
Missouri,"105,000.00","8,750.00","2,019.00",50.48,Data Scientist
South Carolina,"103,937.00","8,661.00","1,998.00",49.97,Data Scientist
Georgia,"103,779.00","8,648.00","1,995.00",49.89,Data Scientist
Oklahoma,"103,063.00","8,588.00","1,981.00",49.55,Data Scientist
Texas,"102,927.00","8,577.00","1,979.00",49.48,Data Scientist
Kansas,"102,344.00","8,528.00","1,968.00",49.20,Data Scientist
North Carolina,"101,792.00","8,482.00","1,957.00",48.94,Data Scientist
Louisiana,"100,631.00","8,385.00","1,935.00",48.38,Data Scientist
Kentucky,"97,776.00","8,148.00","1,880.00",47.01,Data Scientist
Michigan,"97,737.00","8,144.00","1,879.00",46.99,Data Scientist
West Virginia,"96,317.00","8,026.00","1,852.00",46.31,Data Scientist
Arkansas,"92,891.00","7,740.00","1,786.00",44.66,Data Scientist
Florida,"91,843.00","7,653.00","1,766.00",44.16,Data Scientist
New York,"98,166.00","8,180.00","1,887.00",47.20,Data Analyst
Pennsylvania,"89,890.00","7,490.00","1,728.00",43.22,Data Analyst
New Hampshire,"87,898.00","7,324.00","1,690.00",42.26,Data Analyst
New Jersey,"86,566.00","7,213.00","1,664.00",41.62,Data Analyst
Wyoming,"85,631.00","7,135.00","1,646.00",41.17,Data Analyst
Washington,"85,515.00","7,126.00","1,644.00",41.11,Data Analyst
