Date,Open,High,Low,Close,Adj Close,Volume
2018-05-09,52.880001,52.880001,52.880001,52.880001,37.371899,0
2018-05-10,53.250000,53.250000,53.250000,53.250000,37.633392,0
2018-05-11,53.259998,53.259998,53.259998,53.259998,37.640450,0
2018-05-14,53.349998,53.349998,53.349998,53.349998,37.704060,0
2018-05-15,52.950001,52.950001,52.950001,52.950001,37.421371,0
2018-05-16,53.240002,53.240002,53.240002,53.240002,37.626324,0
2018-05-17,53.310001,53.310001,53.310001,53.310001,37.675793,0
2018-05-18,53.189999,53.189999,53.189999,53.189999,37.590981,0
2018-05-21,53.570000,53.570000,53.570000,53.570000,37.859547,0
2018-05-22,53.310001,53.310001,53.310001,53.310001,37.675793,0
2018-05-23,53.520000,53.520000,53.520000,53.520000,37.824211,0
2018-05-24,53.400002,53.400002,53.400002,53.400002,37.739399,0
2018-05-25,53.330002,53.330002,53.330002,53.330002,37.689926,0
2018-05-29,52.799999,52.799999,52.799999,52.799999,37.315357,0
2018-05-30,53.419998,53.419998,53.419998,53.419998,37.753532,0
2018-05-31,53.220001,53.220001,53.220001,53.220001,37.612186,0
2018-06-01,53.759998,53.759998,53.759998,53.759998,37.993816,0
2018-06-04,54.049999,54.049999,54.049999,54.049999,38.198776,0
2018-06-05,54.139999,54.139999,54.139999,54.139999,38.262379,0
2018-06-06,54.570000,54.570000,54.570000,54.570000,38.566273,0
2018-06-07,54.330002,54.330002,54.330002,54.330002,38.396656,0
2018-06-08,54.430000,54.430000,54.430000,54.430000,38.467327,0
2018-06-11,54.580002,54.580002,54.580002,54.580002,38.573338,0
2018-06-12,54.770000,54.770000,54.770000,54.770000,38.707619,0
2018-06-13,54.799999,54.799999,54.799999,54.799999,38.728821,0
2018-06-14,55.099998,55.099998,55.099998,55.099998,38.940838,0
2018-06-15,55.000000,55.000000,55.000000,55.000000,38.870167,0
2018-06-18,55.009998,55.009998,55.009998,55.009998,38.877235,0
2018-06-19,54.830002,54.830002,54.830002,54.830002,38.750023,0
2018-06-20,55.180000,55.180000,55.180000,55.180000,38.997375,0
2018-06-21,54.750000,54.750000,54.750000,54.750000,38.693481,0
2018-06-22,54.830002,54.830002,54.830002,54.830002,38.750023,0
2018-06-25,53.709999,53.709999,53.709999,53.709999,37.958485,0
2018-06-26,53.950001,53.950001,53.950001,53.950001,38.128101,0
2018-06-27,53.470001,53.470001,53.470001,53.470001,37.788868,0
2018-06-28,53.810001,53.810001,53.810001,53.810001,38.029160,0
2018-06-29,54.009998,54.009998,54.009998,54.009998,38.170506,0
2018-07-02,54.080002,54.080002,54.080002,54.080002,38.219978,0
2018-07-03,53.779999,53.779999,53.779999,53.779999,38.007954,0
2018-07-05,54.250000,54.250000,54.250000,54.250000,38.340118,0
2018-07-06,54.820000,54.820000,54.820000,54.820000,38.742954,0
2018-07-09,55.450001,55.450001,55.450001,55.450001,39.188198,0
2018-07-10,55.549999,55.549999,55.549999,55.549999,39.258869,0
2018-07-11,55.209999,55.209999,55.209999,55.209999,39.018578,0
2018-07-12,55.619999,55.619999,55.619999,55.619999,39.308338,0
2018-07-13,55.610001,55.610001,55.610001,55.610001,39.301270,0
2018-07-16,55.480000,55.480000,55.480000,55.480000,39.209400,0
2018-07-17,55.599998,55.599998,55.599998,55.599998,39.294201,0
